ID,NAME,EXPLANATION,MIX
O001,출생기록부,"주녕과 하녕의 출생기록부, 10월9일 같은 생일",O
O002,집 안의 액자,"주녕과 하녕의 어린시절 사진, 묘향력 805년 7월 15일에 찍음",X
O003,멈춰있는 달력,묘향력 806년 9월에서 멈춰있음,O
O004,타임캡슐,어렸을 적 하녕과 함께 묻었던 타임캡슐,X
O005,주사기,빈 주사기,X
O006,오늘 날짜,묘향력 815년 3월 21일,X
O007,꼬맹이의 동생,납치범의 얼굴은 보았지만 큰 충격으로 인해 실어증과 함께 집에서 아예 나오려 하지 않는 상태,X
O008,범인 침입,새벽 3시 즈음 집에 침입하여 꼬맹이의 아빠가 잠에서 깨었으나 바로 머리에 둔기를 맞고 쓰러짐,X
O009,비슷한 사건,"요새 어린 아이들이 귀에 부상을 당하는 일이 잦음, 보통은 서로 다툼을 벌이거나 사고인데 반해 이렇게 누군가 납치해 가는 것은 최근 들어 처음",X
O010,목격자,노숙묘가 유일한 목격자,X
O011,꼬맹이와 범인의 관계,낯을 가리는 꼬맹이가 아는 고양이와 대화한 것 처럼 자연스럽게 대화한 것으로 미루어보아 마을 내부 고양이일 확률이 높음,X
O012,범인의 특징,키가 작다. 검은 털이 아닌 분장이었음.,X
O013,사라진 보안관,"검문소 옆에 보안관의 모자와 신분증 발견, 핏자국도 함께 발견되었으나 보안관의 흔적은 보이지 않음",X
O014,은의 귀 마을,"귀가 은으로 된 고양이 동상으로 2번째로 큰 마을이라는 것을 뜻함, 가장 큰 마을은 황금 귀 마을",X
O015,은의 귀 동상,귀 없는 마을로 강제 이주시킨지 1년만인 700년 1월 12일에 세워짐,X
O016,바텐더의 취향,은가루가 섞인 우유를 좋아한다.,X
O017,동료의 수상한 취미,동료는 지독한 고양이 털 수집가이다.,X
O018,바텐더와 범인,"어두운 얼굴에 후드를 뒤집어쓰고 새벽 1시 30분 정도에 와서 아이스네코 석 잔을 마심, 손님과 잠깐 이야기를 하다 떠남. 바텐더와는 대화한 적이 없음.",X
O019,회중시계,"납치범이 들고있던 회중시계와 주녕의 회중시계의 디자인이 비슷함, 납치범 본인의 마을에서 지급되는 회중시계",X
O020,동상의 독,동상에 독이 스며들어있음,X
O021,회중시계의 역사,"3개의 발가락을 가진 발자국이 새겨진 회중시계는 과거 귀 없는 고양이들이 노예시절 사용하던 것으로 시간을 보는 용도로 쓰이는 것처럼 보였으나 사실 밀수품을 옮길 때 사용하던 것이었음, 시간을 맞추어 놓고 특정 방향으로 시계바늘을 돌려 해당 시간 즉, 암호를 맞추면 시계의 잠금쇠가 풀려 내부의 공간을 볼 수 있게 됨, 크기가 작아 큰 물건이 아닌 주로 작은 물건을 옮길 때 사용하며 현재는 거의 볼 수 없게 되었음",X
O022,밀수,"과거 귀 없는 고양이들은 노예였기 때문에 마을 간 이동이 자유롭지 못했음, 때문에 타 마을에 있는 가족들을 만나거나 할 때 비밀통로를 이용했음",X
O023,고양이의 습성,진화된 고양이는 개인주의에서 벗어나 공동체적 습성을 조금씩 가지게 되었고 이내 마을을 형성하기에 이르렀다. 몇몇 고양이들의 경우 공동체 중심적 사고가 강해 '나'보다는 '우리'라는 말을 자주 사용하기도 한다. 그러나 아직 개인주의적 습성이 남아있어 서로의 생활에 간섭하는 것을 싫어하며 서열정리를 확실히 하는 경향이 있다.,X
O024,옛날사진,"귀없는 고양이들이 강제이송되는 장면이 찍혀있음, 날짜는 묘향력 699년 1월 12일. 327이라는 숫자가 써 있음.",X
O025,그들의 시작,귀 없는 마을의 고양이들은 그들이 시작을 날짜로 치지 않고 처음 강제 이송되던 때의 고양이 수로 생각함. 이후 숫자를 배로 불려 다시 전쟁을 일으키키 위함.,X
