ID,NAME,EXPLANATION,MIX,SPRITE
D001,출생기록부,주녕과 하녕의 출생기록부. 생일이 10월 9일로 같다.,X,출생기록부
D002,집 안의 액자,"묘향력 805년, 7월 15일. 동생과 함께 찍은 사진",X,액자
D003,멈춰있는 달력,묘형혁 806년 9월에서 멈춰있는 달력,X,달력
D004,타임캡슐,어릴 적 동생과 함꼐 뒤뜰에 타임캡슐을 묻었다.,X,타임캡슐
D005,주사기,용도를 모르는 빈 주사기,X,주사기
D006,오늘 날짜,오늘 날짜: 묘향력 815년 3월 21일,X,오늘 날짜
D007,바텐더와 범인,어두운 얼굴에 후드를 뒤집어쓰고 새벽 1시 30분 정도에 와서 아이스네코 석 잔을 마셨다. 손님과 잠깐 이야기를 하다 떠났지만 바텐더와는 대화한 적이 없다.,X,바텐더와 범인
D008,회중시계,"납치범이 들고있던 회중시계와 주녕의 회중시계의 디자인이 비슷함, 납치범 본인의 마을에서 지급되는 회중시계",X,회중시계
D009,동상의 독,"동상에 독이 스며들어 있다. 누가, 왜 그랬는지는 모른다.",X,동상의 독
D010,꼬맹이의 동생,납치범의 얼굴은 보았지만 큰 충격으로 인해 실어증과 함께 집에서 아예 나오려 하지 않는 상태,X,꼬맹이의 동생
D011,범인 침입,새벽 3시 즈음 집에 침입하여 꼬맹이의 아빠가 잠에서 깨었으나 바로 머리에 둔기를 맞고 쓰러졌다.,X,범인 침입
D012,비슷한 사건,요새 어린 아이들이 귀에 부상을 당하는 일이 잦다. 보통은 서로 다툼을 벌이거나 사고인데 반해 이렇게 누군가 납치해 가는 것은 최근 들어 처음이라는데…,X,비슷한 사건
D013,목격자,유일한 목격자는 노숙묘이다.,X,목격자
D014,꼬맹이와 범인의 관계,낯을 가리는 꼬맹이가 아는 고양이와 대화한 것 처럼 자연스럽게 대화한 것으로 미루어보아 마을 내부 고양이일 확률이 높다.,X,꼬맹이와 범인의 관계
D015,범인의 특징,키가 작다. 검은 털이 아닌 분장인 것 같다.,X,범인의 특징
D016,사라진 보안관,"검문소 옆에 보안관의 모자와 신분증 발견, 핏자국도 함께 발견되었으나 보안관의 흔적은 보이지 않는다.",X,사라진 보안관
D017,은의 귀 마을,"귀가 은으로 된 고양이 동상으로 2번째로 큰 마을이라는 것을 뜻함, 가장 큰 마을은 황금 귀 마을",X,은의 귀 마을
D018,은의 귀 동상,귀 없는 마을로 강제 이주시킨지 1년만인 700년 1월 12일에 세워졌다.,X,은의 귀 동상
D019,바텐더의 취향,은가루가 섞인 우유를 좋아한다.,X,바텐더의 취향
D020,회중시계의 역사,"3개의 발가락을 가진 발자국이 새겨진 회중시계는 과거 귀 없는 고양이들이 노예시절 사용하던 것으로 시간을 보는 용도로 쓰이는 것처럼 보였으나 사실 밀수품을 옮길 때 사용하던 걸. 시간을 맞추어 놓고 특정 방향으로 시계바늘을 돌려 해당 시간 즉, 암호를 맞추면 시계의 잠금쇠가 풀려 내부의 공간을 볼 수 있게 되는데, 크기가 작아 큰 물건이 아닌 주로 작은 물건을 옮길 때 사용하며 현재는 거의 볼 수 없게 되었다.",X,회중시계의 역사
D021,밀수,"과거 귀 없는 고양이들은 노예였기 때문에 마을 간 이동이 자유롭지 못했다, 때문에 타 마을에 있는 가족들을 만나거나 할 때 비밀통로를 이용했다.",X,밀수
